index,Age,Education,Sex,Income,Industry,Included,State,Income Decile
92,39.0,Medium,Male,50178.88814231109,Education,0,Oaxaca,6
93,61.0,Low,Female,48000.0,Other Services (Not Government),0,Oaxaca,6
94,39.0,Medium,Male,36000.0,Other Services (Not Government),0,Oaxaca,5
95,47.0,Low,Male,20000.0,Other Services (Not Government),1,Oaxaca,2
96,41.0,Medium,Male,19200.0,Construction,0,Oaxaca,2
97,40.0,Low,Male,33600.0,Other,0,Oaxaca,4
98,50.0,High,Male,261000.0,Education,1,Oaxaca,10
99,57.0,Low,Male,9000.0,Government,1,Oaxaca,1
100,65.0,Low,Male,26400.0,Wholesale,1,Oaxaca,3
101,46.0,High,Male,53300.0,Government,1,Oaxaca,6
102,56.0,High,Male,168000.0,Health / Social Services,0,Oaxaca,10
103,42.0,High,Male,181000.0,Education,0,Oaxaca,10
104,48.0,Medium,Female,344000.0,Health / Social Services,1,Oaxaca,10
105,48.0,Medium,Female,344000.0,Health / Social Services,1,Oaxaca,10
106,48.0,Medium,Female,344000.0,Health / Social Services,1,Oaxaca,10
107,48.0,Medium,Female,344000.0,Health / Social Services,1,Oaxaca,10
108,55.0,Medium,Male,110400.0,Health / Social Services,0,Oaxaca,9
109,39.0,Medium,Male,234600.0,Government,1,Oaxaca,10
110,42.0,High,Male,122800.0,Education,1,Oaxaca,9
111,38.0,Medium,Female,75600.0,Education,0,Oaxaca,8
112,47.0,Medium,Female,28800.0,Education,0,Oaxaca,4
113,43.0,High,Female,84000.0,Education,0,Oaxaca,8
114,51.0,Medium,Male,111600.0,Other,0,Oaxaca,9
115,42.0,High,Female,226000.0,Education,1,Oaxaca,10
116,47.0,Medium,Female,133229.6984009647,Education,1,Oaxaca,9
117,56.0,Low,Male,3000.0,Construction,0,Oaxaca,1
118,49.0,Medium,Male,43200.0,Construction,0,Oaxaca,5
119,63.0,Medium,Male,33600.0,Construction,0,Oaxaca,4
120,35.0,Medium,Female,12000.0,Other Services (Not Government),0,Oaxaca,2
121,34.0,Low,Female,1700.0,Manufacturing,0,Oaxaca,1
122,43.0,Low,Female,2500.0,Manufacturing,0,Oaxaca,1
123,40.0,Low,Female,780.0,Manufacturing,0,Oaxaca,1
124,62.0,Low,Female,3200.0,Manufacturing,1,Oaxaca,1
125,24.0,Medium,Female,26400.0,Professional / Scientific,1,Oaxaca,3
126,40.0,Low,Male,10000.0,Agriculture,0,Oaxaca,1
127,32.0,Low,Male,54000.0,Retail,0,Federal District,6
128,44.0,Low,Male,4200.0,Agriculture,0,Oaxaca,1
129,39.0,Low,Male,26200.35153019256,Agriculture,0,Oaxaca,3
130,51.0,Low,Male,5000.0,Agriculture,0,Oaxaca,1
131,50.0,Low,Male,37000.0,Agriculture,0,Oaxaca,5
132,38.0,Low,Male,12000.0,Agriculture,0,Oaxaca,2
133,56.0,Low,Male,3500.0,Business Services,0,Oaxaca,1
134,49.0,Low,Male,22400.0,Agriculture,0,Oaxaca,3
135,45.0,Low,Female,3000.0,Hospitality,0,Oaxaca,1
136,55.0,Low,Male,38400.0,Wholesale,0,Oaxaca,5
137,33.0,Low,Male,28800.0,Transportation,1,Oaxaca,4
138,45.0,Low,Male,43200.0,Government,1,Oaxaca,5
139,45.0,Low,Male,3000.0,Agriculture,0,Oaxaca,1
140,43.0,Medium,Male,67000.0,Education,1,Oaxaca,7
141,51.0,Low,Male,20000.0,Hospitality,1,Oaxaca,2
142,47.0,Low,Male,64400.0,Retail,1,Oaxaca,7
143,47.0,Low,Male,28400.0,Education,0,Oaxaca,3
144,49.0,Low,Female,28800.0,Retail,1,Oaxaca,4
145,37.0,Low,Female,21000.0,Health / Social Services,0,Oaxaca,3
146,42.0,Medium,Male,38000.0,Government,1,Oaxaca,5
147,56.0,Low,Male,18000.0,Government,1,Oaxaca,2
148,47.0,Low,Female,2280.0,Manufacturing,1,Oaxaca,1
149,40.0,Low,Female,3000.0,Manufacturing,1,Oaxaca,1
150,53.0,Low,Male,25000.0,Construction,0,Oaxaca,3
151,46.0,Low,Male,1000.0,Construction,0,Oaxaca,1
152,62.0,Low,Male,12000.0,Manufacturing,0,Oaxaca,2
153,63.0,Low,Male,7000.0,Manufacturing,1,Oaxaca,1
154,33.0,Low,Male,22000.0,Agriculture,0,Oaxaca,3
155,48.0,Low,Male,45000.0,Agriculture,1,Oaxaca,5
156,36.0,Low,Female,21450.0,Agriculture,0,Oaxaca,3
157,53.0,Low,Male,27000.0,Government,1,Oaxaca,3
158,46.0,Low,Male,30000.0,Construction,1,Oaxaca,4
159,60.0,Low,Male,6000.0,Government,1,Oaxaca,1
160,65.0,Low,Male,12800.0,Agriculture,0,Oaxaca,2
161,27.0,High,Male,58000.0,Education,0,Oaxaca,7
162,47.0,Medium,Male,31600.0,Construction,0,Oaxaca,4
163,39.0,Medium,Male,21600.0,Agriculture,0,Oaxaca,3
164,42.0,Low,Male,2000.0,Manufacturing,1,State of Mexico,1
165,36.0,Low,Male,26400.0,Government,1,Oaxaca,3
166,57.0,Low,Male,1500.0,Agriculture,0,Oaxaca,1
167,41.0,Low,Male,28000.0,Construction,0,Oaxaca,3
168,25.0,Low,Male,18000.0,Transportation,0,Oaxaca,2
169,43.0,Medium,Male,10400.0,Agriculture,1,Oaxaca,1
170,36.0,Low,Male,5200.0,Mining,0,Oaxaca,1
171,41.0,Low,Male,28800.0,Utilities,1,Oaxaca,4
172,32.0,Medium,Male,28000.0,Construction,0,Oaxaca,3
173,47.0,Low,Male,650.0,Retail,1,Oaxaca,1
174,34.0,Medium,Male,48000.0,Manufacturing,1,Oaxaca,6
175,44.0,Low,Male,105600.0,Construction,1,Oaxaca,9
176,45.0,Low,Male,23664.673456223376,Transportation,0,Oaxaca,3
177,45.0,Medium,Male,48000.0,Construction,0,Oaxaca,6
178,47.0,Low,Female,24000.0,Government,0,Oaxaca,3
179,32.0,Low,Male,23210.71525849484,Construction,1,Oaxaca,3
180,48.0,Low,Male,29007.164676446693,Agriculture,0,Oaxaca,4
181,63.0,Low,Male,29200.0,Construction,0,Oaxaca,4
182,59.0,Low,Male,21600.0,Transportation,0,Oaxaca,3
183,61.0,Low,Female,38400.0,Hospitality,0,Oaxaca,5
184,65.0,Low,Male,17866.00312438583,Agriculture,0,Oaxaca,2
185,56.0,Low,Male,20780.86985644217,Agriculture,0,Oaxaca,2
186,56.0,Low,Male,48000.0,Health / Social Services,0,Oaxaca,6
187,47.0,Low,Male,36000.0,Transportation,0,Oaxaca,5
188,52.0,Low,Female,24000.0,Retail,0,Oaxaca,3
189,43.0,Low,Male,26800.0,Agriculture,1,Oaxaca,3
190,64.0,Low,Male,5600.0,Agriculture,0,Oaxaca,1
191,47.0,Medium,Male,42000.0,Government,1,Oaxaca,5
192,55.0,Low,Female,24000.0,Agriculture,0,Oaxaca,3
193,50.0,Low,Male,20160.0,Agriculture,0,Oaxaca,2
194,50.0,Medium,Male,44175.21593138586,Agriculture,0,Oaxaca,5
195,44.0,Low,Male,3000.0,Agriculture,0,Oaxaca,1
196,48.0,Low,Female,3000.0,Other Services (Not Government),0,Oaxaca,1
197,29.0,Medium,Male,30000.0,Agriculture,0,Oaxaca,4
198,48.0,Low,Male,28800.0,Agriculture,1,Oaxaca,4
199,48.0,Low,Male,50000.0,Utilities,0,Oaxaca,6
200,41.0,Medium,Male,81200.0,Education,0,Oaxaca,8
201,50.0,Low,Male,120000.0,Education,0,Oaxaca,9
202,49.0,Medium,Male,48150.0,Mining,1,Veravruz,6
203,61.0,Low,Male,98400.0,Government,1,Veravruz,9
204,47.0,Low,Female,18000.0,Transportation,1,Veravruz,2
205,41.0,Medium,Male,38400.0,Transportation,1,Veravruz,5
206,42.0,Low,Male,19200.0,Other Services (Not Government),1,Veravruz,2
207,51.0,Low,Male,25210.0,Transportation,1,Veravruz,3
208,41.0,Low,Female,24600.0,Transportation,0,Veravruz,3
209,24.0,High,Male,60000.0,Professional / Scientific,1,Veravruz,7
210,47.0,Low,Male,57300.0,Transportation,1,Veravruz,6
211,54.0,Low,Female,21120.0,Manufacturing,1,Veravruz,3
212,54.0,Low,Male,51600.0,Business Services,1,Veravruz,6
213,35.0,Medium,Male,82000.0,Mining,1,Veravruz,8
214,31.0,Medium,Female,342000.0,Manufacturing,1,Veravruz,10
215,40.0,Low,Male,15000.0,Other Services (Not Government),1,Veravruz,2
216,37.0,Medium,Male,4800.0,Construction,1,Veravruz,1
217,40.0,Medium,Male,55800.0,Manufacturing,1,Veravruz,6
218,65.0,Low,Male,122000.0,Manufacturing,0,Veravruz,9
219,51.0,Medium,Male,48000.0,Information / Communications,1,Veravruz,6
220,33.0,Medium,Male,83400.0,Government,0,Veravruz,8
221,31.0,Medium,Male,20000.0,Hospitality,1,Veravruz,2
222,53.0,Low,Male,57600.0,Retail,1,Veravruz,7
223,44.0,Low,Male,116698.0,Manufacturing,1,Veravruz,9
224,54.0,Low,Male,12300.0,Other Services (Not Government),0,Veravruz,2
225,38.0,Low,Female,7200.0,Other Services (Not Government),1,Veravruz,1
226,60.0,Low,Male,9600.0,Other Services (Not Government),1,Veravruz,1
227,51.0,High,Female,120000.0,Government,0,Veravruz,9
228,41.0,Low,Male,14400.0,Construction,0,Veravruz,2
229,32.0,Medium,Male,19200.0,Hospitality,0,Veravruz,2
230,43.0,High,Female,84000.0,Education,1,Veravruz,8
231,43.0,Low,Male,24000.0,Other Services (Not Government),1,Veravruz,3
232,47.0,High,Male,148800.0,Education,1,Veravruz,9
233,44.0,Low,Female,19200.0,Construction,0,Veravruz,2
234,30.0,Low,Male,36000.0,Manufacturing,1,Veravruz,5
235,31.0,Low,Male,26000.0,Construction,0,Veravruz,3
236,41.0,Medium,Female,72000.0,Retail,1,Veravruz,8
237,30.0,Medium,Male,120000.0,Retail,1,Veravruz,9
238,57.0,Medium,Female,38400.0,Retail,0,Veravruz,5
239,40.0,Medium,Male,28800.0,Retail,1,Veravruz,4
240,48.0,Low,Male,41000.0,Retail,0,Veravruz,5
241,38.0,Medium,Male,38400.0,Retail,0,Veravruz,5
242,57.0,Low,Male,48000.0,Manufacturing,1,Veravruz,6
243,35.0,High,Male,24000.0,Education,1,Veravruz,3
244,43.0,Low,Female,36540.0,Retail,0,Veravruz,5
245,61.0,Low,Male,25000.0,Retail,0,Veravruz,3
246,29.0,Medium,Male,42000.0,Retail,0,Veravruz,5
247,53.0,Low,Female,12000.0,Hospitality,0,Veravruz,2
248,36.0,High,Male,38400.0,Other Services (Not Government),1,Veravruz,5
249,44.0,Medium,Male,98200.0,Education,1,Veravruz,9
250,35.0,Medium,Male,101400.0,Retail,1,Veravruz,9
251,34.0,High,Male,156000.0,Information / Communications,0,Veravruz,10
252,24.0,Medium,Male,312000.0,Mining,1,Veravruz,10
253,25.0,Medium,Male,67000.0,Other Services (Not Government),1,Veravruz,7
254,24.0,Medium,Female,42000.0,Other Services (Not Government),0,Veravruz,5
255,45.0,Low,Male,15000.0,Other Services (Not Government),0,Veravruz,2
256,65.0,Low,Female,18000.0,Manufacturing,0,Veravruz,2
257,48.0,Low,Male,120000.0,Construction,1,Veravruz,9
258,54.0,Low,Male,6000.0,Construction,0,Veravruz,1
259,58.0,Medium,Male,24000.0,Transportation,1,Veravruz,3
260,26.0,Low,Male,42000.0,Manufacturing,1,Veravruz,5
261,55.0,Low,Male,45000.0,Professional / Scientific,0,Veravruz,5
262,52.0,Medium,Female,72200.0,Health / Social Services,1,Veravruz,8
263,44.0,High,Male,48000.0,Health / Social Services,1,Veravruz,6
264,52.0,Low,Male,26040.0,Hospitality,1,Veravruz,3
265,60.0,Low,Male,81600.0,Transportation,1,Veravruz,8
266,39.0,Medium,Male,87300.0,Construction,1,Veravruz,8
267,35.0,Medium,Male,199000.0,Construction,1,Veravruz,10
268,40.0,Medium,Male,94000.0,Retail,1,Veravruz,8
269,32.0,Low,Male,85200.0,Manufacturing,1,Veravruz,8
270,26.0,Low,Male,50000.0,Other Services (Not Government),0,Veravruz,6
271,33.0,Medium,Male,49200.0,Transportation,1,Veravruz,6
272,40.0,Low,Male,40800.0,Construction,0,Veravruz,5
273,42.0,Low,Male,27000.0,Retail,0,Veravruz,3
274,54.0,Medium,Female,21600.0,Manufacturing,0,Veravruz,3
275,32.0,Medium,Male,64800.0,Government,1,Veravruz,7
276,55.0,High,Male,70000.0,Professional / Scientific,1,Veravruz,7
277,60.0,Low,Male,200560.0,Other Services (Not Government),1,Veravruz,10
278,60.0,Medium,Male,204000.0,Transportation,1,Veravruz,10
279,58.0,Low,Female,48000.0,Retail,1,Veravruz,6
280,61.0,Low,Male,23800.0,Education,0,Veravruz,3
281,39.0,Medium,Male,53800.0,Transportation,1,Veravruz,6
282,30.0,Low,Male,36000.0,Wholesale,1,Veravruz,5
283,49.0,Low,Male,133000.0,Retail,1,Veravruz,9
284,32.0,Medium,Male,30000.0,Cultural / Sport / Recreational,1,Veravruz,4
285,29.0,Medium,Male,73200.0,Manufacturing,1,Veravruz,8
286,43.0,Low,Male,40000.0,Transportation,1,Veravruz,5
287,47.0,Low,Male,109910.18500524855,Construction,1,Veravruz,9
288,42.0,Low,Female,10000.0,Retail,1,Veravruz,1
289,33.0,Medium,Male,60000.0,Government,1,Veravruz,7
290,61.0,Low,Male,12000.0,Agriculture,0,Veravruz,2
291,41.0,Low,Male,166700.0,Hospitality,1,Veravruz,10
292,53.0,Low,Male,30000.0,Manufacturing,1,Veravruz,4
293,44.0,Medium,Male,107000.0,Construction,1,Veravruz,9
294,29.0,Medium,Male,42000.0,Government,1,Veravruz,5
295,40.0,High,Female,5100.0,Health / Social Services,1,Veravruz,1
296,39.0,High,Male,8000.0,Mining,1,Veravruz,1
297,51.0,Low,Female,24000.0,Other Services (Not Government),1,Veravruz,3
298,41.0,Low,Female,50400.0,Hospitality,1,Veravruz,6
299,56.0,Medium,Male,95600.0,Mining,0,Veravruz,8
300,44.0,Medium,Male,88000.0,Mining,1,Veravruz,8
301,62.0,Low,Male,35600.0,Government,1,Veravruz,4
302,53.0,Medium,Male,23000.0,Health / Social Services,1,Veravruz,3
303,54.0,Low,Male,28600.0,Manufacturing,0,Veravruz,3
304,44.0,Medium,Male,145688.0,Construction,1,Veravruz,9
305,50.0,Medium,Male,44800.0,Education,1,Veravruz,5
306,45.0,Low,Male,125000.0,Manufacturing,1,Veravruz,9
307,41.0,High,Male,269200.0,Mining,1,Veravruz,10
308,45.0,Medium,Male,31200.0,Transportation,1,Veravruz,4
309,59.0,Medium,Male,46480.0,Transportation,1,Veravruz,6
310,60.0,Low,Female,21600.0,Construction,1,Veravruz,3
311,46.0,Low,Male,600.0,Manufacturing,1,Veravruz,1
312,59.0,Low,Female,15560.0,Business Services,1,Veravruz,2
313,52.0,Medium,Male,13440.0,Hospitality,1,Veravruz,2
314,25.0,Medium,Male,28540.0,Manufacturing,1,Veravruz,3
315,46.0,Medium,Male,8000.0,Other Services (Not Government),1,Veravruz,1
316,39.0,Medium,Male,12000.0,Other Services (Not Government),1,Veravruz,2
317,31.0,Low,Male,50000.0,Construction,0,Veravruz,6
318,45.0,High,Male,84800.0,Manufacturing,1,Veravruz,8
319,57.0,Medium,Male,24000.0,Education,1,Veravruz,3
320,59.0,High,Male,432000.0,Health / Social Services,0,Veravruz,10
321,47.0,Low,Male,67000.0,Other,1,Veravruz,7
322,57.0,Low,Male,57600.0,Construction,0,Veravruz,7
323,48.0,Medium,Male,20000.0,Construction,1,Veravruz,2
324,39.0,Medium,Male,105513.80996163936,Retail,1,Veravruz,9
325,44.0,High,Female,156000.0,Health / Social Services,1,Veravruz,10
326,48.0,High,Male,36000.0,Manufacturing,1,Veravruz,5
327,41.0,Medium,Male,40000.0,Manufacturing,0,Veravruz,5
328,64.0,Low,Male,27480.0,Manufacturing,1,Veravruz,3
329,36.0,High,Male,42000.0,Education,1,Veravruz,5
330,36.0,High,Male,42000.0,Education,1,Veravruz,5
331,36.0,High,Male,42000.0,Education,1,Veravruz,5
332,55.0,Low,Male,62400.0,Agriculture,0,Veravruz,7
333,45.0,Low,Male,48200.0,Retail,0,Veravruz,6
334,37.0,Low,Male,100800.0,Education,0,Veravruz,9
335,62.0,Low,Male,60000.0,Health / Social Services,0,Veravruz,7
336,56.0,Medium,Male,32800.0,Manufacturing,0,Veravruz,4
337,44.0,Low,Female,33600.0,Hospitality,1,Veravruz,4
338,62.0,Low,Male,74000.0,Manufacturing,1,Veravruz,8
339,60.0,Medium,Male,180000.0,Education,0,Veravruz,10
340,58.0,Medium,Female,56400.0,Education,1,Veravruz,6
341,28.0,High,Male,100000.0,Health / Social Services,0,Veravruz,9
342,64.0,Low,Female,63000.0,Government,0,Veravruz,7
343,47.0,High,Male,29000.0,Professional / Scientific,1,Veravruz,4
344,59.0,Medium,Female,48000.0,Retail,0,Veravruz,6
345,62.0,Low,Male,48000.0,Manufacturing,0,Veravruz,6
346,36.0,High,Male,360000.0,Transportation,1,Veravruz,10
347,55.0,Medium,Female,144000.0,Other,1,Veravruz,9
348,59.0,High,Male,72000.0,Government,0,Veravruz,8
349,53.0,High,Male,264000.0,Education,1,Veravruz,10
350,42.0,Medium,Female,60000.0,Education,0,Veravruz,7
351,42.0,Medium,Female,60000.0,Education,0,Veravruz,7
352,48.0,High,Male,360000.0,Other,1,Veravruz,10
353,50.0,High,Male,120000.0,Retail,1,Veravruz,9
354,42.0,High,Male,180000.0,Education,0,Veravruz,10
355,31.0,High,Male,120000.0,Information / Communications,1,Veravruz,9
356,34.0,Medium,Male,221861.91301593336,Retail,1,Veravruz,10
357,39.0,High,Male,50400.0,Government,0,Veravruz,6
358,43.0,Medium,Female,24000.0,Manufacturing,1,Veravruz,3
359,33.0,Medium,Male,72000.0,Hospitality,0,Veravruz,8
360,41.0,Low,Male,81600.0,Professional / Scientific,1,Veravruz,8
361,20.0,Medium,Male,39400.0,Retail,1,Veravruz,5
362,59.0,Low,Male,32300.0,Manufacturing,1,Veravruz,4
363,43.0,Low,Female,42000.0,Construction,1,Veravruz,5
364,38.0,Medium,Male,19200.0,Mining,0,Veravruz,2
365,44.0,Low,Male,16800.0,Hospitality,0,Veravruz,2
366,48.0,Low,Male,24000.0,Transportation,1,Veravruz,3
367,60.0,Low,Female,1700.0,Hospitality,0,Veravruz,1
368,41.0,High,Male,86000.0,Professional / Scientific,1,Veravruz,8
369,47.0,Medium,Male,250000.0,Education,1,Veravruz,10
370,45.0,High,Male,50000.0,Agriculture,0,Veravruz,6
371,51.0,Medium,Male,64400.0,Construction,1,Veravruz,7
372,49.0,Low,Male,105500.0,Transportation,1,Veravruz,9
373,48.0,Medium,Male,49100.0,Other Services (Not Government),1,Veravruz,6
374,64.0,Low,Male,71900.0,Construction,1,Veravruz,7
375,60.0,Low,Male,40830.0,Business Services,1,Veravruz,5
376,37.0,Medium,Male,84000.0,Other Services (Not Government),1,Veravruz,8
377,27.0,Low,Male,28800.0,Agriculture,0,Veravruz,4
378,41.0,Low,Male,84000.0,Retail,1,Veravruz,8
379,35.0,Low,Male,11700.0,Construction,0,Veravruz,1
380,51.0,Low,Male,138000.0,Education,0,Veravruz,9
381,42.0,Low,Male,176448.0,Finance / Insurance,1,Veravruz,10
382,30.0,Low,Male,27000.0,Manufacturing,0,Veravruz,3
383,46.0,Medium,Male,40000.0,Mining,1,Veravruz,5
384,49.0,Low,Male,51600.0,Construction,0,Veravruz,6
385,36.0,Low,Male,33600.0,Government,0,Veravruz,4
386,49.0,Low,Male,62400.0,Hospitality,0,Veravruz,7
387,46.0,High,Male,120000.0,Education,1,Veravruz,9
388,33.0,Medium,Male,24000.0,Transportation,1,Veravruz,3
389,65.0,Low,Male,74800.0,Other Services (Not Government),0,Veravruz,8
390,27.0,Medium,Male,24000.0,Hospitality,0,Veravruz,3
391,33.0,Medium,Male,13000.0,Real Estate,1,Veravruz,2
392,43.0,Low,Male,18000.0,Agriculture,1,Veravruz,2
393,34.0,Low,Male,10800.0,Retail,0,Veravruz,1
394,34.0,Low,Male,18000.0,Retail,1,Veravruz,2
395,53.0,Medium,Male,24000.0,Retail,0,Veravruz,3
396,43.0,Low,Female,6000.0,Retail,0,Veravruz,1
397,30.0,Medium,Male,38400.0,Construction,1,Veravruz,5
398,50.0,Low,Male,33600.0,Retail,1,Veravruz,4
399,54.0,Low,Female,44800.0,Hospitality,0,Veravruz,5
400,41.0,Low,Male,30000.0,Other Services (Not Government),0,Veravruz,4
401,27.0,Medium,Male,30000.0,Other Services (Not Government),1,Veravruz,4
402,44.0,Low,Male,48000.0,Mining,1,Veravruz,6
403,25.0,Low,Female,39400.0,Agriculture,1,Veravruz,5
404,64.0,Low,Male,360000.0,Agriculture,0,Veravruz,10
405,60.0,Low,Male,26840.0,Agriculture,0,Veravruz,3
406,49.0,Medium,Female,33600.0,Agriculture,0,Veravruz,4
407,44.0,Low,Female,18000.0,Retail,1,Veravruz,2
408,37.0,Low,Male,25920.0,Agriculture,1,Veravruz,3
409,62.0,Low,Male,33600.0,Retail,1,Veravruz,4
410,37.0,Medium,Female,28800.0,Hospitality,1,Veravruz,4
411,29.0,Low,Male,47200.0,Other Services (Not Government),1,Veravruz,6
412,34.0,Low,Male,3600.0,Agriculture,1,Veravruz,1
413,45.0,Low,Male,33600.0,Retail,0,Veravruz,4
414,49.0,Low,Male,5040.0,Agriculture,1,Veravruz,1
415,55.0,Low,Female,48000.0,Hospitality,0,Veravruz,6
416,64.0,Low,Male,28800.0,Agriculture,0,Veravruz,4
417,38.0,Low,Male,28800.0,Agriculture,0,Veravruz,4
418,27.0,Low,Female,19200.0,Other Services (Not Government),1,Veravruz,2
